[2026-08-07 10:13:52] [INFO] ============================================
[2026-08-07 10:13:52] [INFO] Script started.
[2026-08-07 10:13:52] [INFO] Script name: 08_round_edges.py
[2026-08-07 10:13:52] [INFO] Project: AIML-Driven Super-Resolution and Volumetric Reconstruction for Mixing Tanks
[2026-08-07 10:13:52] [INFO] Script folder: C:\AI_ML_Fellowship\Project2\Scripts
[2026-08-07 10:13:52] [INFO] Source folder: C:\AI_ML_Fellowship\Project2\Images\04_Transparent
[2026-08-07 10:13:52] [INFO] Output folder: C:\AI_ML_Fellowship\Project2\Images\05_Final_Rounded
[2026-08-07 10:13:52] [INFO] Alpha cutoff: 128
[2026-08-07 10:13:52] [INFO] Supersample factor: 4
[2026-08-07 10:13:52] [INFO] Logs folder: C:\AI_ML_Fellowship\Project2\Scripts\Logs
[2026-08-07 10:13:52] [INFO] Log file: C:\AI_ML_Fellowship\Project2\Scripts\Logs\08_round_edges.log
[2026-08-07 10:13:52] [INFO] Found 155 PNG file(s) in C:\AI_ML_Fellowship\Project2\Images\04_Transparent.
[2026-08-07 10:18:07] [INFO] Processed: frame_0110.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0110.png
[2026-08-07 10:18:09] [INFO] Processed: frame_0111.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0111.png
[2026-08-07 10:18:11] [INFO] Processed: frame_0112.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0112.png
[2026-08-07 10:18:13] [INFO] Processed: frame_0113.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0113.png
[2026-08-07 10:18:15] [INFO] Processed: frame_0114.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0114.png
[2026-08-07 10:18:17] [INFO] Processed: frame_0115.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0115.png
[2026-08-07 10:18:19] [INFO] Processed: frame_0116.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0116.png
[2026-08-07 10:18:22] [INFO] Processed: frame_0117.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0117.png
[2026-08-07 10:18:24] [INFO] Processed: frame_0118.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0118.png
[2026-08-07 10:18:26] [INFO] Processed: frame_0119.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0119.png
[2026-08-07 10:18:28] [INFO] Processed: frame_0120.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0120.png
[2026-08-07 10:18:30] [INFO] Processed: frame_0121.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0121.png
[2026-08-07 10:18:33] [INFO] Processed: frame_0122.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0122.png
[2026-08-07 10:18:35] [INFO] Processed: frame_0123.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0123.png
[2026-08-07 10:18:38] [INFO] Processed: frame_0124.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0124.png
